cn	CHR	START	END	i	cn_ctc	cn_cdp	cn_wbc
4	chr1	22168886	22730468	35	5.1428571	7.916667	1.94444444444444
4	chr1	22730469	23262664	36	5.1428571	7.916667	1.88888888888889
4	chr1	23262665	23825006	37	5.1428571	7.916667	1.88888888888889
4	chr1	23825007	24358992	38	5.1428571	7.916667	1.88888888888889
4	chr1	24358993	24909875	39	5.0714286	7.916667	1.88888888888889
4	chr1	24909876	25453827	40	5.0714286	7.916667	1.88888888888889
4	chr1	25453828	25999077	41	5.0714286	7.916667	1.88888888888889
4	chr1	25999078	26566827	42	5.0714286	7.916667	1.94444444444444
4	chr1	26566828	27118008	43	5.0714286	7.916667	1.94444444444444
4	chr1	27118009	27680508	44	5.0714286	7.916667	1.94444444444444
4	chr1	27680509	28234863	45	5.0714286	7.916667	1.94444444444444
4	chr1	28234864	28787214	46	5.0714286	7.916667	1.94444444444444
4	chr1	28787215	29316400	47	5.0714286	7.916667	1.94444444444444
4	chr1	29316401	29907414	48	5.0714286	7.916667	1.94444444444444
4	chr1	29907415	30497123	49	5.0714286	7.916667	1.94444444444444
4	chr1	30497124	31083791	50	5.0714286	7.916667	1.94444444444444
4	chr1	31083792	31649427	51	5.0714286	7.916667	1.94444444444444
4	chr1	31649428	32208970	52	5.0714286	7.916667	1.94444444444444
4	chr1	32208971	32762466	53	5.0714286	7.916667	1.94444444444444
4	chr1	32762467	33343762	54	5.2142857	7.916667	1.94444444444444
4	chr1	33343763	33878499	55	5.2142857	7.916667	1.94444444444444
4	chr1	33878500	34400618	56	5.2142857	7.916667	1.94444444444444
4	chr1	34400619	34938274	57	5.2142857	7.916667	1.94444444444444
4	chr1	34938275	35499506	58	5.2142857	7.916667	1.94444444444444
4	chr1	35499507	36025045	59	5.2142857	7.916667	1.94444444444444
4	chr1	36025046	36543818	60	5.2142857	7.916667	1.94444444444444
4	chr1	36543819	37063777	61	5.2142857	7.916667	1.94444444444444
4	chr1	37063778	37579969	62	5.2142857	7.916667	1.94444444444444
4	chr1	37579970	38108556	63	5.2142857	7.916667	1.94444444444444
4	chr1	38108557	38620117	64	5.2142857	7.916667	1.94444444444444
4	chr1	38620118	39144934	65	5.2142857	7.916667	1.94444444444444
4	chr1	39144935	39655553	66	5.2142857	7.916667	1.94444444444444
4	chr1	39655554	40178143	67	5.2142857	7.916667	1.94444444444444
4	chr1	40178144	40717891	68	5.2142857	7.916667	1.94444444444444
4	chr1	40717892	41234843	69	5.2142857	7.916667	1.94444444444444
4	chr1	41234844	41765069	70	5.2142857	7.916667	1.94444444444444
4	chr1	41765070	42287663	71	5.2142857	7.916667	1.94444444444444
4	chr1	42287664	42811128	72	5.2142857	7.916667	1.94444444444444
4	chr1	42811129	43330536	73	5.2142857	7.916667	1.94444444444444
4	chr1	43330537	43859662	74	5.2142857	7.916667	1.94444444444444
4	chr1	43859663	44441139	75	5.2857143	7.916667	1.94444444444444
4	chr1	44441140	45036731	76	5.2857143	7.916667	1.94444444444444
4	chr1	45036732	45603694	77	5.2857143	7.916667	1.94444444444444
4	chr1	45603695	46168511	78	5.2857143	7.916667	1.94444444444444
4	chr1	46168512	46773079	79	5.2857143	7.916667	1.94444444444444
4	chr1	46773080	47348683	80	5.2857143	7.916667	1.94444444444444
4	chr1	47348684	47924760	81	5.2857143	7.916667	1.94444444444444
4	chr1	47924761	48522710	82	5.2857143	7.916667	1.94444444444444
4	chr1	48522711	49104298	83	5.2857143	7.916667	1.94444444444444
4	chr1	49104299	49657475	84	5.2857143	7.916667	1.94444444444444
4	chr1	49657476	50202382	85	5.2857143	7.916667	1.94444444444444
4	chr1	50202383	50759471	86	5.2857143	7.916667	1.94444444444444
4	chr1	50759472	51288660	87	5.2142857	7.916667	1.94444444444444
4	chr1	51288661	51826714	88	5.2142857	7.916667	1.94444444444444
4	chr1	51826715	52350426	89	5.2142857	7.916667	1.94444444444444
4	chr1	52350427	52898501	90	5.2142857	7.916667	1.94444444444444
4	chr1	52898502	53452491	91	5.2142857	7.916667	1.94444444444444
4	chr1	53452492	54010540	92	5.2142857	7.916667	1.94444444444444
4	chr1	54010541	54562694	93	5.2142857	7.916667	1.94444444444444
4	chr1	54562695	55090084	94	5.2142857	7.916667	1.94444444444444
4	chr1	55090085	55639321	95	5.2142857	7.916667	1.94444444444444
4	chr1	55639322	56186158	96	5.2142857	7.916667	1.94444444444444
4	chr1	56186159	56730107	97	5.2142857	7.916667	1.94444444444444
4	chr1	56730108	57258481	98	5.2142857	7.916667	1.94444444444444
4	chr1	57258482	57786918	99	5.2142857	7.916667	1.94444444444444
4	chr1	57786919	58301583	100	5.2142857	7.916667	1.94444444444444
4	chr1	58301584	58850528	101	5.2142857	7.916667	1.94444444444444
4	chr1	58850529	59387913	102	5.2142857	7.916667	1.94444444444444
4	chr1	59387914	59906263	103	5.2142857	7.916667	1.94444444444444
4	chr1	59906264	60435587	104	5.2142857	7.916667	1.94444444444444
4	chr1	60435588	60972057	105	5.2142857	7.916667	1.94444444444444
4	chr1	60972058	61505292	106	5.2142857	7.916667	1.94444444444444
4	chr1	61505293	62041804	107	5.2142857	7.916667	1.94444444444444
4	chr1	62041805	62577690	108	5.1428571	7.916667	1.94444444444444
4	chr1	62577691	63101931	109	5.1428571	7.916667	1.94444444444444
4	chr1	63101932	63619375	110	5.1428571	7.916667	1.94444444444444
4	chr1	63619376	64163925	111	5.1428571	7.916667	1.94444444444444
4	chr1	64163926	64710395	112	5.1428571	7.916667	1.94444444444444
4	chr1	64710396	65235991	113	5.1428571	7.916667	1.94444444444444
4	chr1	65235992	65800429	114	5.1428571	7.916667	1.94444444444444
4	chr1	65800430	66365012	115	5	7.416667	1.94444444444444
4	chr1	66365013	66901802	116	5	7.416667	1.94444444444444
4	chr1	66901803	67434142	117	4.8571429	6.583333	1.94444444444444
4	chr1	67434143	68004059	118	4.5714286	6.25	1.94444444444444
3	chr1	68004060	68545755	119	4.1428571	6.083333	1.94444444444444
3	chr1	68545756	69087216	120	4.1428571	6.083333	1.94444444444444
3	chr1	69087217	69618204	121	4	6.083333	1.94444444444444
3	chr1	69618205	70167014	122	4	6.083333	1.94444444444444
3	chr1	70167015	70710004	123	4	6.083333	1.94444444444444
3	chr1	70710005	71248059	124	4	6.083333	1.94444444444444
3	chr1	71248060	71768762	125	4	6.083333	1.94444444444444
3	chr1	71768763	72289407	126	4	6.083333	1.94444444444444
3	chr1	72289408	72809400	127	4	6.083333	1.94444444444444
3	chr1	72809401	73337012	128	4	6.083333	1.94444444444444
3	chr1	73337013	73883678	129	4	6.083333	1.94444444444444
3	chr1	73883679	74405174	130	4	6.083333	1.94444444444444
3	chr1	74405175	74931405	131	4	6.083333	1.94444444444444
3	chr1	74931406	75509439	132	4	6.083333	1.94444444444444
3	chr1	75509440	76035547	133	4	6.083333	1.94444444444444
3	chr1	76035548	76580253	134	4	6.083333	1.94444444444444
3	chr1	76580254	77114244	135	4	6.083333	1.94444444444444
3	chr1	77114245	77630357	136	4	6.083333	1.94444444444444
3	chr1	77630358	78163236	137	4	6.083333	1.94444444444444
3	chr1	78163237	78683394	138	4	6.083333	1.94444444444444
3	chr1	78683395	79266841	139	4	6.083333	1.94444444444444
3	chr1	79266842	79818006	140	4	6.083333	1.94444444444444
3	chr1	79818007	80372752	141	4	6.083333	1.94444444444444
3	chr1	80372753	80906966	142	4	6.083333	1.94444444444444
3	chr1	80906967	81451046	143	4	6.083333	1.94444444444444
3	chr1	81451047	82001095	144	4	6.083333	1.94444444444444
3	chr1	82001096	82538228	145	4	6.083333	1.94444444444444
3	chr1	82538229	83060799	146	4	6.083333	1.94444444444444
3	chr1	83060800	83610721	147	4	6.083333	1.94444444444444
3	chr1	83610722	84159282	148	4	6.083333	1.94444444444444
3	chr1	84159283	84724083	149	4	6.083333	1.94444444444444
3	chr1	84724084	85307645	150	4	6.083333	1.94444444444444
3	chr1	85307646	85953782	151	4	6.083333	1.94444444444444
3	chr1	85953783	86473931	152	4	6.083333	1.94444444444444
3	chr1	86473932	87009118	153	4	6.083333	1.94444444444444
3	chr1	87009119	87536905	154	4	6.083333	1.94444444444444
3	chr1	87536906	88068652	155	4	6.083333	1.94444444444444
3	chr1	88068653	88586961	156	4	6.083333	1.94444444444444
3	chr1	88586962	89111363	157	4	6.083333	1.94444444444444
3	chr1	89111364	89630806	158	4	6.083333	1.94444444444444
3	chr1	89630807	90141667	159	4	6.083333	1.94444444444444
3	chr1	90141668	90652463	160	4	6.083333	1.94444444444444
3	chr1	90652464	91173318	161	4	6.083333	1.94444444444444
3	chr1	91173319	91690947	162	4	6.083333	1.94444444444444
3	chr1	91690948	92202550	163	4	6.083333	1.94444444444444
3	chr1	92202551	92731968	164	4	6.083333	1.94444444444444
3	chr1	92731969	93246041	165	4	6.083333	1.94444444444444
3	chr1	93246042	93761717	166	4	6.083333	1.94444444444444
3	chr1	93761718	94341960	167	4	6.083333	1.94444444444444
3	chr1	94341961	94913575	168	4	6.083333	1.94444444444444
3	chr1	94913576	95463652	169	4	6.083333	1.94444444444444
3	chr1	95463653	96029569	170	4	6.083333	1.94444444444444
3	chr1	96029570	96602037	171	4	6.083333	1.94444444444444
3	chr1	96602038	97163550	172	4.1428571	6.333333	1.94444444444444
3	chr1	97163551	97745155	173	4.1428571	6.416667	1.94444444444444
3	chr1	97745156	98283353	174	4.1428571	6.416667	1.94444444444444
3	chr1	98283354	98889800	175	4.1428571	6.416667	1.94444444444444
3	chr1	98889801	99472406	176	4	6.416667	1.94444444444444
3	chr1	99472407	100008830	177	4	6.416667	1.94444444444444
3	chr1	100008831	100549013	178	4	6.416667	1.94444444444444
3	chr1	100549014	101124638	179	4	6.416667	1.94444444444444
3	chr1	101124639	101704118	180	4	6.416667	1.94444444444444
3	chr1	101704119	102308223	181	4	6.416667	1.94444444444444
3	chr1	102308224	102862860	182	4	6.416667	1.94444444444444
3	chr1	102862861	103444593	183	4	6.416667	1.94444444444444
3	chr1	103444594	103995626	184	4	6.416667	1.94444444444444
3	chr1	103995627	104570675	185	4	6.416667	1.94444444444444
3	chr1	104570676	105119535	186	4.1428571	6.416667	1.94444444444444
3	chr1	105119536	105667456	187	4.2142857	6.416667	1.94444444444444
3	chr1	105667457	106195211	188	4.2857143	6.416667	1.94444444444444
3	chr1	106195212	106721166	189	4.2857143	6.416667	1.94444444444444
3	chr1	106721167	107294221	190	4.2857143	6.416667	2
3	chr1	107294222	107841669	191	4.5	6.583333	2
3	chr1	107841670	108411942	192	4.5	6.583333	2
3	chr1	108411943	108971388	193	4.5	6.583333	2
3	chr1	108971389	109549180	194	4.5	6.583333	2
3	chr1	109549181	110102094	195	4.5	6.583333	2
3	chr1	110102095	110662732	196	4.5	6.583333	2
3	chr1	110662733	111211323	197	4.6428571	7.083333	2
3	chr1	111211324	111797742	198	4.6428571	7.5	2
3	chr1	111797743	112358719	199	4.6428571	7.5	2
3	chr1	112358720	112943389	200	4.7142857	7.666667	2
3	chr1	112943390	113495621	201	4.7142857	7.666667	2
3	chr1	113495622	114063099	202	4.7142857	7.666667	2
3	chr1	114063100	114665341	203	4.7142857	7.666667	2
3	chr1	114665342	115224389	204	4.7142857	7.666667	2
3	chr1	115224390	115787237	205	4.7142857	7.666667	2
3	chr1	115787238	116318772	206	4.7857143	7.666667	2
3	chr1	116318773	116879591	207	4.7857143	7.666667	2
3	chr1	116879592	117457476	208	4.9285714	7.666667	2
3	chr1	117457477	118066332	209	4.9285714	7.666667	2
3	chr1	118066333	118642697	210	4.9285714	7.5	2
3	chr1	118642698	119151012	211	4.9285714	7.5	2
3	chr1	119151013	119661901	212	4.9285714	7.5	2
3	chr1	119661902	120190633	213	4.9285714	7.5	2
3	chr1	120190634	120706880	214	4.9285714	7.5	2
3	chr1	120706881	121238001	215	4.9285714	7.5	2
3	chr1	121238002	121786302	216	4.9285714	7.5	2
3	chr1	121786303	122327956	217	4.9285714	7.5	2
3	chr1	122327957	122883635	218	4.9285714	7.5	2
3	chr1	122883636	123423216	219	4.7142857	7.5	2
3	chr1	123423217	123963156	220	4.7142857	7.5	1.94444444444444
3	chr1	123963157	124504364	221	4.7142857	7.5	1.94444444444444
3	chr1	124504365	125039879	222	4.7142857	7.5	1.94444444444444
3	chr1	125039880	125605571	223	4.8571429	7.5	1.94444444444444
3	chr1	125605572	126120218	224	4.8571429	7.5	1.94444444444444
3	chr1	126120219	126638891	225	4.8571429	7.5	1.94444444444444
3	chr1	126638892	127182278	226	4.8571429	7.5	1.94444444444444
3	chr1	127182279	127704390	227	4.8571429	7.5	1.94444444444444
3	chr1	127704391	128233376	228	4.8571429	7.5	1.94444444444444
3	chr1	128233377	128758362	229	4.8571429	7.5	1.94444444444444
3	chr1	128758363	129297166	230	4.8571429	7.5	1.94444444444444
3	chr1	129297167	129843544	231	4.8571429	7.5	1.94444444444444
3	chr1	129843545	130397066	232	4.8571429	7	1.94444444444444
3	chr1	130397067	130944878	233	4.8571429	7	1.94444444444444
3	chr1	130944879	131473639	234	4.7857143	7	1.94444444444444
3	chr1	131473640	132002276	235	4.7857143	7	1.94444444444444
3	chr1	132002277	132515059	236	4.7857143	6.833333	1.94444444444444
3	chr1	132515060	133027861	237	4.7857143	6.666667	1.94444444444444
3	chr1	133027862	133541948	238	4.7857143	6.666667	1.94444444444444
3	chr1	133541949	134058891	239	4.7857143	6.666667	1.94444444444444
3	chr1	134058892	134585359	240	4.7857143	6.583333	1.94444444444444
3	chr1	134585360	135096898	241	4.7857143	6.583333	1.94444444444444
3	chr1	135096899	135611713	242	4.7857143	6.583333	1.94444444444444
3	chr1	135611714	136121133	243	4.7857143	6.583333	1.94444444444444
3	chr1	136121134	136631991	244	4.7142857	6.5	1.94444444444444
3	chr1	136631992	137164576	245	4.7142857	6.5	1.94444444444444
3	chr1	137164577	137709149	246	4.7142857	6.5	1.94444444444444
3	chr1	137709150	138243848	247	4.7142857	6.5	1.94444444444444
3	chr1	138243849	138771883	248	4.6428571	6.5	1.94444444444444
3	chr1	138771884	139314729	249	4.6428571	6.5	1.94444444444444
3	chr1	139314730	139887742	250	4.5714286	6.5	1.94444444444444
3	chr1	139887743	140448142	251	4.5714286	6.083333	1.94444444444444
3	chr1	140448143	141029081	252	4.5	6	1.94444444444444
3	chr1	141029082	141600819	253	4.5	6	1.94444444444444
3	chr1	141600820	142146558	254	4.5	6	1.94444444444444
3	chr1	142146559	142713104	255	4.5	6	1.94444444444444
3	chr1	142713105	143276551	256	4.5	6	1.94444444444444
3	chr1	143276552	143899399	257	4.5	6	1.94444444444444
3	chr1	143899400	144470007	258	4.5	6	1.94444444444444
3	chr1	144470008	145026216	259	4.2857143	6	1.94444444444444
3	chr1	145026217	145594026	260	4	6	1.94444444444444
3	chr1	145594027	146167543	261	4	6	1.94444444444444
3	chr1	146167544	146738152	262	4	6	1.94444444444444
3	chr1	146738153	147278636	263	4	6	1.94444444444444
3	chr1	147278637	147851127	264	4	6	1.94444444444444
3	chr1	147851128	148439672	265	4	6	1.94444444444444
3	chr1	148439673	149005163	266	4	6	1.94444444444444
3	chr1	149005164	149574371	267	4	6	1.94444444444444
3	chr1	149574372	150114423	268	4.1428571	6	1.94444444444444
3	chr1	150114424	150670860	269	4.1428571	6	1.94444444444444
3	chr1	150670861	151188928	270	4.1428571	6	1.94444444444444
3	chr1	151188929	151710844	271	4.1428571	6	1.94444444444444
3	chr1	151710845	152227773	272	4.1428571	6	1.94444444444444
3	chr1	152227774	152760488	273	4.1428571	6	1.94444444444444
3	chr1	152760489	153277280	274	4.1428571	6	1.94444444444444
3	chr1	153277281	153802913	275	4.1428571	6	1.94444444444444
3	chr1	153802914	154334136	276	4	6	1.94444444444444
3	chr1	154334137	154859390	277	4	6	1.94444444444444
3	chr1	154859391	155389613	278	4	6	1.94444444444444
3	chr1	155389614	155909028	279	4	6	1.94444444444444
3	chr1	155909029	156484151	280	4	6	1.94444444444444
3	chr1	156484152	157006531	281	4	6	1.94444444444444
3	chr1	157006532	157531617	282	4	6	1.94444444444444
3	chr1	157531618	158059454	283	4	6	1.94444444444444
3	chr1	158059455	158580419	284	4	6	1.94444444444444
3	chr1	158580420	159118869	285	4	6	1.94444444444444
3	chr1	159118870	159636986	286	4	6	1.94444444444444
3	chr1	159636987	160161452	287	4	6	1.94444444444444
3	chr1	160161453	160698244	288	4	6	1.94444444444444
3	chr1	160698245	161223199	289	4	6	1.94444444444444
3	chr1	161223200	161750159	290	4	6	1.94444444444444
3	chr1	161750160	162282439	291	4	6	1.94444444444444
3	chr1	162282440	162815866	292	4	6	1.94444444444444
3	chr1	162815867	163359978	293	4	6	1.94444444444444
3	chr1	163359979	163911188	294	4	6	1.94444444444444
3	chr1	163911189	164428629	295	4	6	1.94444444444444
3	chr1	164428630	164966670	296	4	6	1.94444444444444
3	chr1	164966671	165518254	297	4	6	1.94444444444444
3	chr1	165518255	166037367	298	4	6	1.94444444444444
3	chr1	166037368	166628287	299	4	6	1.94444444444444
3	chr1	166628288	167163707	300	4	6	1.94444444444444
3	chr1	167163708	167691768	301	4	6	1.94444444444444
3	chr1	167691769	168217464	302	4	6	1.94444444444444
3	chr1	168217465	168759237	303	4	6	1.94444444444444
3	chr1	168759238	169307736	304	4	6	1.94444444444444
3	chr1	169307737	169838573	305	4	6	1.94444444444444
3	chr1	169838574	170365340	306	4	6	1.94444444444444
3	chr1	170365341	170881204	307	4	6	1.94444444444444
3	chr1	170881205	171405120	308	4	6	1.94444444444444
3	chr1	171405121	171958968	309	4	6	1.94444444444444
3	chr1	171958969	172474346	310	4	6	1.94444444444444
3	chr1	172474347	173026229	311	4	6	1.94444444444444
3	chr1	173026230	173570162	312	4	6	1.94444444444444
3	chr1	173570163	174118751	313	4	6	1.94444444444444
3	chr1	174118752	174679156	314	4	6	1.94444444444444
3	chr1	174679157	175225555	315	4	6	1.94444444444444
3	chr1	175225556	175760333	316	4	6	1.94444444444444
3	chr1	175760334	176297684	317	4	6	1.94444444444444
3	chr1	176297685	176830624	318	4	6	1.94444444444444
3	chr1	176830625	177360081	319	4	6	1.94444444444444
3	chr1	177360082	177887952	320	4	6	1.94444444444444
3	chr1	177887953	178483316	321	4	6	1.94444444444444
3	chr1	178483317	178997291	322	4	6	1.94444444444444
3	chr1	178997292	179508729	323	4	6	1.94444444444444
3	chr1	179508730	180046671	324	4	6	1.94444444444444
3	chr1	180046672	180557629	325	4	6	1.94444444444444
3	chr1	180557630	181080034	326	4	6	1.94444444444444
3	chr1	181080035	181605890	327	4	6	1.94444444444444
3	chr1	181605891	182127942	328	4	6	1.94444444444444
3	chr1	182127943	182660055	329	4	6	1.94444444444444
3	chr1	182660056	183220678	330	4	6	1.94444444444444
3	chr1	183220679	183804113	331	4	6	1.94444444444444
3	chr1	183804114	184329860	332	4	6	1.94444444444444
3	chr1	184329861	184852902	333	4	6	1.94444444444444
3	chr1	184852903	185375360	334	4	6	1.94444444444444
3	chr1	185375361	185901520	335	4	6	1.94444444444444
3	chr1	185901521	186427540	336	4	6	1.94444444444444
3	chr1	186427541	186947763	337	4	6	1.94444444444444
3	chr1	186947764	187471775	338	4	6	1.94444444444444
3	chr1	187471776	187982928	339	4	6	1.94444444444444
3	chr1	187982929	188500205	340	4	6	1.94444444444444
3	chr1	188500206	189021975	341	4	6	1.94444444444444
3	chr1	189021976	189551658	342	4	6	1.94444444444444
3	chr1	189551659	190062062	343	4	6	1.94444444444444
3	chr1	190062063	190570797	344	4	6	1.94444444444444
3	chr1	190570798	191086875	345	4	6	1.94444444444444
3	chr1	191086876	191607188	346	4	6	1.94444444444444
3	chr1	191607189	192189264	347	4	6	1.94444444444444
3	chr1	192189265	192714800	348	4	6	1.94444444444444
3	chr1	192714801	193235627	349	4	6	1.94444444444444
3	chr1	193235628	193745377	350	4	6	1.94444444444444
3	chr1	193745378	194281556	351	4	6	1.94444444444444
3	chr1	194281557	194797977	352	4	6	1.94444444444444
3	chr1	194797978	195471971	353	4	6	1.94444444444444
3	chr2	1	3591237	354	3.9285714	5.916667	1.94444444444444
3	chr2	3591238	4131598	355	3.9285714	5.916667	1.94444444444444
3	chr2	4131599	4655798	356	3.9285714	5.916667	1.94444444444444
3	chr2	4655799	5179840	357	3.9285714	5.916667	1.94444444444444
3	chr2	5179841	5712434	358	3.9285714	5.916667	1.94444444444444
3	chr2	5712435	6239405	359	3.9285714	5.916667	1.94444444444444
3	chr2	6239406	6753196	360	3.9285714	5.916667	1.94444444444444
3	chr2	6753197	7280497	361	3.9285714	5.916667	1.94444444444444
3	chr2	7280498	7862396	362	3.9285714	5.916667	1.94444444444444
3	chr2	7862397	8435487	363	3.9285714	5.916667	1.94444444444444
3	chr2	8435488	8983534	364	3.9285714	5.916667	1.94444444444444
3	chr2	8983535	9523390	365	3.9285714	5.916667	1.94444444444444
3	chr2	9523391	10038866	366	3.9285714	5.916667	1.94444444444444
3	chr2	10038867	10562288	367	3.9285714	5.916667	1.94444444444444
3	chr2	10562289	11108375	368	3.9285714	5.916667	1.94444444444444
3	chr2	11108376	11644243	369	3.9285714	5.916667	1.94444444444444
3	chr2	11644244	12204124	370	3.9285714	5.916667	1.94444444444444
3	chr2	12204125	12761996	371	3.9285714	5.916667	1.94444444444444
3	chr2	12761997	13299261	372	3.9285714	5.916667	1.94444444444444
3	chr2	13299262	13835475	373	3.9285714	5.916667	1.94444444444444
3	chr2	13835476	14425114	374	3.9285714	5.916667	1.94444444444444
3	chr2	14425115	14961089	375	3.9285714	5.916667	1.94444444444444
3	chr2	14961090	15535547	376	3.9285714	5.916667	1.94444444444444
3	chr2	15535548	16122418	377	3.9285714	5.916667	1.94444444444444
3	chr2	16122419	16685195	378	3.9285714	5.916667	1.94444444444444
3	chr2	16685196	17255481	379	3.9285714	5.916667	1.94444444444444
3	chr2	17255482	17806232	380	3.9285714	5.916667	1.94444444444444
3	chr2	17806233	18333022	381	3.9285714	5.916667	1.94444444444444
3	chr2	18333023	18870930	382	3.9285714	5.916667	1.94444444444444
3	chr2	18870931	19417110	383	3.9285714	5.916667	1.94444444444444
3	chr2	19417111	19954992	384	3.9285714	5.916667	1.94444444444444
3	chr2	19954993	20525768	385	3.9285714	5.916667	1.94444444444444
3	chr2	20525769	21043941	386	3.9285714	5.916667	1.94444444444444
3	chr2	21043942	21612026	387	3.9285714	5.916667	1.94444444444444
3	chr2	21612027	22218160	388	3.9285714	5.916667	1.94444444444444
3	chr2	22218161	22893703	389	3.9285714	5.916667	1.94444444444444
3	chr2	22893704	23445437	390	3.9285714	5.916667	1.94444444444444
3	chr2	23445438	24025819	391	3.9285714	5.916667	1.94444444444444
3	chr2	24025820	24571420	392	3.9285714	5.916667	1.94444444444444
3	chr2	24571421	25087996	393	3.9285714	5.916667	1.94444444444444
3	chr2	25087997	25602361	394	3.9285714	5.916667	1.94444444444444
3	chr2	25602362	26134500	395	3.9285714	5.916667	1.94444444444444
3	chr2	26134501	26647955	396	3.9285714	5.916667	1.94444444444444
3	chr2	26647956	27196055	397	3.9285714	5.916667	1.94444444444444
3	chr2	27196056	27709165	398	3.9285714	5.916667	1.94444444444444
3	chr2	27709166	28216903	399	3.9285714	5.916667	1.94444444444444
3	chr2	28216904	28735899	400	3.9285714	5.916667	1.94444444444444
3	chr2	28735900	29253241	401	3.9285714	5.916667	1.94444444444444
3	chr2	29253242	29776519	402	3.9285714	5.916667	1.94444444444444
3	chr2	29776520	30303382	403	3.9285714	5.916667	1.94444444444444
3	chr2	30303383	30815653	404	3.9285714	5.916667	1.94444444444444
3	chr2	30815654	31330211	405	3.9285714	5.916667	1.94444444444444
3	chr2	31330212	31841441	406	3.9285714	5.916667	1.94444444444444
3	chr2	31841442	32359388	407	3.9285714	5.916667	1.94444444444444
3	chr2	32359389	32877208	408	3.9285714	5.916667	1.94444444444444
3	chr2	32877209	33388021	409	3.9285714	5.916667	1.94444444444444
3	chr2	33388022	33898801	410	3.9285714	5.916667	1.94444444444444
3	chr2	33898802	34413432	411	3.9285714	5.916667	1.94444444444444
3	chr2	34413433	34940186	412	3.9285714	5.916667	1.94444444444444
3	chr2	34940187	35450892	413	3.9285714	5.916667	1.94444444444444
3	chr2	35450893	35966580	414	3.9285714	5.916667	1.94444444444444
3	chr2	35966581	36540219	415	3.9285714	5.916667	2.05555555555556
3	chr2	36540220	37127974	416	4.2857143	5.916667	8.72222222222222
3	chr2	37127975	37687892	417	4.2857143	5.916667	8.72222222222222
3	chr2	37687893	38211665	418	4.2857143	5.916667	8.72222222222222
3	chr2	38211666	38726890	419	4.2857143	5.916667	8.72222222222222
3	chr2	38726891	39254369	420	4.2857143	5.916667	8.72222222222222
3	chr2	39254370	39852505	421	4.2857143	5.916667	8.72222222222222
3	chr2	39852506	40435207	422	3.9285714	5.916667	1.94444444444444
3	chr2	40435208	40983829	423	3.9285714	5.916667	1.88888888888889
3	chr2	40983830	41521163	424	3.9285714	5.916667	1.88888888888889
3	chr2	41521164	42070105	425	3.9285714	5.916667	1.88888888888889
3	chr2	42070106	42614436	426	3.9285714	5.916667	1.88888888888889
3	chr2	42614437	43145291	427	3.9285714	5.916667	1.88888888888889
3	chr2	43145292	43686985	428	3.9285714	5.916667	1.88888888888889
3	chr2	43686986	44211003	429	3.9285714	5.916667	1.88888888888889
3	chr2	44211004	44741177	430	3.9285714	5.916667	1.88888888888889
3	chr2	44741178	45264877	431	3.9285714	5.916667	1.88888888888889
